city,st,state,lat,lon,county,zip
Abbeville,AL,Alabama,31.56639,-85.25139,Henry,36310
Adamsville,AL,Alabama,33.59028,-86.94917,Jefferson,35005
Addison,AL,Alabama,34.2,-87.17778,Winston,35540
Akron,AL,Alabama,32.87639,-87.74083,Hale,35441
Alabaster,AL,Alabama,33.23111,-86.82361,Shelby,"35007, 35114"
Albertville,AL,Alabama,34.26528,-86.21111,Marshall,35950-35951
Alexander,AL,Alabama,32.93306,-85.93611,Tallapoosa,35010-35011
Aliceville,AL,Alabama,33.12611,-88.15417,Pickens,35442
Allgood,AL,Alabama,33.90417,-86.51639,Blount,35013
Altoona,AL,Alabama,34.02917,-86.32056,Etowah,35952
Andalusia,AL,Alabama,31.3,-86.483,Covington,36420 and 36421
Anderson,AL,Alabama,34.92,-87.27028,Lauderdale,35610
Anniston,AL,Alabama,33.66111,-85.83333,Calhoun,36201-36207
Arab,AL,Alabama,34.32778,-86.49861,Cullman,35016
Ardmore,AL,Alabama,34.98694,-86.84306,Limestone,35739
Argo,AL,Alabama,33.7,-86.51222,Jefferson,null
Ariton,AL,Alabama,31.59806,-85.71861,Dale,36311
Arley,AL,Alabama,34.08139,-87.21056,Winston,35540-35541
Ashford,AL,Alabama,31.18389,-85.23528,Houston,36312
Ashland,AL,Alabama,33.27194,-85.83667,Clay,36251
Ashville,AL,Alabama,33.837,-86.255,St. Clair,35953
Athens,AL,Alabama,34.78972,-86.96944,Limestone,35611–35614–35613
Atmore,AL,Alabama,31.02306,-87.49194,Escambia,36502-36504
Attalla,AL,Alabama,34.00972,-86.09833,Etowah,35954
Auburn,AL,Alabama,32.59778,-85.48083,Lee,"36830–36832, 36849"
Autaugaville,AL,Alabama,32.43222,-86.65333,Autauga,36003
Avon,AL,Alabama,31.18917,-85.27889,Houston,36312
Babbie,AL,Alabama,31.30028,-86.31917,Covington,null
Baileyton,AL,Alabama,34.26694,-86.60278,Cullman,35019
Bakerhill,AL,Alabama,31.88495,-85.1539,Barbour,null
Banks,AL,Alabama,31.81333,-85.84028,Pike,36005
Bay Minette,AL,Alabama,30.88333,-87.77694,Baldwin,36507
Bayou La Batre,AL,Alabama,30.40306,-88.24806,Mobile,36509
Bear Creek,AL,Alabama,34.27222,-87.70333,Marion,35543
Beatrice,AL,Alabama,31.73306,-87.20667,Monroe,36425
Beaverton,AL,Alabama,33.93278,-88.02028,Lamar,35544
Belk,AL,Alabama,33.64583,-87.93083,Fayette,35545
Benton,AL,Alabama,32.30611,-86.8175,Lowndes,36785
Berlin,AL,Alabama,34.18139,-86.74222,Cullman,35058
Berry,AL,Alabama,33.65778,-87.60583,Fayette,35546
Bessemer,AL,Alabama,33.40167,-86.95444,Jefferson,35020-35023
Billingsley,AL,Alabama,32.66028,-86.71111,Autauga,36006
Birmingham,AL,Alabama,33.51861,-86.81028,Jefferson,35201–35298
Black,AL,Alabama,31.01111,-85.74417,Geneva,36314
Blountsville,AL,Alabama,34.08167,-86.58861,Blount,35031
Blue Springs,AL,Alabama,31.66417,-85.49583,Barbour,36017
Boaz,AL,Alabama,34.20278,-86.16028,Etowah,35957 and 35956
Boligee,AL,Alabama,32.76361,-88.02583,Greene,35443
Bon Air,AL,Alabama,33.26361,-86.33361,Talladega,35032
Brantley,AL,Alabama,31.58417,-86.25639,Crenshaw,36009
Brent,AL,Alabama,32.94,-87.17472,Bibb,35034
